product_id,product_url,product_name,review_title,review_content,review_date
11th-Gen-IntelR-CoreTM-i5-1135G7---240GHz,https://cpu.userbenchmark.com/SpeedTest/1286124/11th-Gen-IntelR-CoreTM-i5-1135G7---240GHz,SpeedTest,Good,Really fast and good for a low-mid-range laptop,11 months ago.
11th-Gen-IntelR-CoreTM-i5-1135G7---240GHz,https://cpu.userbenchmark.com/SpeedTest/1286124/11th-Gen-IntelR-CoreTM-i5-1135G7---240GHz,SpeedTest,Excellent,amazing performance for the price,2 years ago.
11th-Gen-IntelR-CoreTM-i5-1135G7---240GHz,https://cpu.userbenchmark.com/SpeedTest/1286124/11th-Gen-IntelR-CoreTM-i5-1135G7---240GHz,SpeedTest,Good,"Because its good, idk it works.",2 years ago.
11th-Gen-IntelR-CoreTM-i5-1135G7---240GHz,https://cpu.userbenchmark.com/SpeedTest/1286124/11th-Gen-IntelR-CoreTM-i5-1135G7---240GHz,SpeedTest,Terrible,i have it and the performans is perfekt to the pris,5 months ago.
11th-Gen-IntelR-CoreTM-i5-1135G7---240GHz,https://cpu.userbenchmark.com/SpeedTest/1286124/11th-Gen-IntelR-CoreTM-i5-1135G7---240GHz,SpeedTest,Good,"I use the i5-1135g7, and it is a fairly strong cpu.",8 months ago.
11th-Gen-IntelR-CoreTM-i5-1145G7---260GHz,https://cpu.userbenchmark.com/SpeedTest/1345527/11th-Gen-IntelR-CoreTM-i5-1145G7---260GHz,SpeedTest,,,15 days ago.
11th-Gen-IntelR-CoreTM-i5-1145G7---260GHz,https://cpu.userbenchmark.com/SpeedTest/1345527/11th-Gen-IntelR-CoreTM-i5-1145G7---260GHz,SpeedTest,Terrible,This monster beat up 45W i7-10750H in term of single core with only 28W.,7 months ago.
11th-Gen-IntelR-CoreTM-i5-1145G7---260GHz,https://cpu.userbenchmark.com/SpeedTest/1345527/11th-Gen-IntelR-CoreTM-i5-1145G7---260GHz,SpeedTest,Excellent,"4C 8T mobile CPU with TDP maximum to 28W or minimum to 12W. Base clock of 2.6Ghz, turbo up to 4.4Ghz. Comes with reasonable amount of L3 8mb of cache memory. Thanks to the support of LPDDR4X, this CPU can perform very good in everyday situation. For both Ultrabook and 2in1.",2 years ago.
11th-Gen-IntelR-CoreTM-i5-1145G7---260GHz,https://cpu.userbenchmark.com/SpeedTest/1345527/11th-Gen-IntelR-CoreTM-i5-1145G7---260GHz,SpeedTest,,,12 months ago.
11th-Gen-IntelR-CoreTM-i5-1145G7---260GHz,https://cpu.userbenchmark.com/SpeedTest/1345527/11th-Gen-IntelR-CoreTM-i5-1145G7---260GHz,SpeedTest,Terrible,This monster beat up 45W i7-10750H in term of single core with only 28W.,7 months ago.
11th-Gen-IntelR-CoreTM-i5-1145G7---260GHz,https://cpu.userbenchmark.com/SpeedTest/1345527/11th-Gen-IntelR-CoreTM-i5-1145G7---260GHz,SpeedTest,Excellent,"4C 8T mobile CPU with TDP maximum to 28W or minimum to 12W. Base clock of 2.6Ghz, turbo up to 4.4Ghz. Comes with reasonable amount of L3 8mb of cache memory. Thanks to the support of LPDDR4X, this CPU can perform very good in everyday situation. For both Ultrabook and 2in1.",2 years ago.
11th-Gen-IntelR-CoreTM-i5-11300H---310GHz,https://cpu.userbenchmark.com/SpeedTest/1504890/11th-Gen-IntelR-CoreTM-i5-11300H---310GHz,SpeedTest,,,10 months ago.
11th-Gen-IntelR-CoreTM-i5-11300H---310GHz,https://cpu.userbenchmark.com/SpeedTest/1504890/11th-Gen-IntelR-CoreTM-i5-11300H---310GHz,SpeedTest,Good,"Really good cpu, workhorse for my laptop allowing me to multitask with ease, run games at high fps etc. On the other hand beware when you play certain games, specifically fortnite, it only uses 30% of the CPU. That is my only downside.",3 months ago.
11th-Gen-IntelR-CoreTM-i5-11300H---310GHz,https://cpu.userbenchmark.com/SpeedTest/1504890/11th-Gen-IntelR-CoreTM-i5-11300H---310GHz,SpeedTest,Excellent,Just very good CPU for Laptops,3 months ago.
11th-Gen-IntelR-CoreTM-i5-11300H---310GHz,https://cpu.userbenchmark.com/SpeedTest/1504890/11th-Gen-IntelR-CoreTM-i5-11300H---310GHz,SpeedTest,Average,"Supersede of i5-9300H and i5-10300H. Performance wise, 8% improved from 10300H with a base clock of 3.10Ghz and turbo up to 4.4Ghz. 4C 8T still is very good enough for everyday tasking and most of the games. Recommended for low-end gaming laptop under $1200.",3 years ago.
11th-Gen-IntelR-CoreTM-i5-11400H---270GHz,https://cpu.userbenchmark.com/SpeedTest/1575224/11th-Gen-IntelR-CoreTM-i5-11400H---270GHz,SpeedTest,,The cpu can handle games very well with 6 cores and good for multitasking,4 months ago.
11th-Gen-IntelR-CoreTM-i5-11400H---270GHz,https://cpu.userbenchmark.com/SpeedTest/1575224/11th-Gen-IntelR-CoreTM-i5-11400H---270GHz,SpeedTest,Excellent,"I have it and it's a really good cpu for laptops, its really powerful",2 month ago.
11th-Gen-IntelR-CoreTM-i5-11400H---270GHz,https://cpu.userbenchmark.com/SpeedTest/1575224/11th-Gen-IntelR-CoreTM-i5-11400H---270GHz,SpeedTest,Excellent,Benches marked as "Tree Trunk" using this CPU are benches done with the iGPU instead of the dGPU so the averages are deeply skewed in this CPU's disfavor,16 months ago.
11th-Gen-IntelR-CoreTM-i5-11400H---270GHz,https://cpu.userbenchmark.com/SpeedTest/1575224/11th-Gen-IntelR-CoreTM-i5-11400H---270GHz,SpeedTest,Good,still holds up great performance till this day.,2 months ago.
11th-Gen-IntelR-CoreTM-i5-11400H---270GHz,https://cpu.userbenchmark.com/SpeedTest/1575224/11th-Gen-IntelR-CoreTM-i5-11400H---270GHz,SpeedTest,Excellent,"Budget-friendly 11th gen intel i5, Good for basic gaming laptops.",7 months ago.
11th-Gen-IntelR-CoreTM-i5-11500---270GHz,https://cpu.userbenchmark.com/SpeedTest/1496869/11th-Gen-IntelR-CoreTM-i5-11500---270GHz,SpeedTest,,,2 months ago.
11th-Gen-IntelR-CoreTM-i5-11500---270GHz,https://cpu.userbenchmark.com/SpeedTest/1496869/11th-Gen-IntelR-CoreTM-i5-11500---270GHz,SpeedTest,Good,"11400F+3060Ti: Game over AMD, at least until Zen4 and RDNA 3 …",8 months ago.
11th-Gen-IntelR-CoreTM-i5-11500---270GHz,https://cpu.userbenchmark.com/SpeedTest/1496869/11th-Gen-IntelR-CoreTM-i5-11500---270GHz,SpeedTest,Good,It costs only a little more than 11400 but performs almost as 11600... for sure it's a great buy!,2 years ago.
11th-Gen-IntelR-CoreTM-i5-11500---270GHz,https://cpu.userbenchmark.com/SpeedTest/1496869/11th-Gen-IntelR-CoreTM-i5-11500---270GHz,SpeedTest,Good,"This processor is a value winner for mid- and high-range gaming/borwsing/multitasking, etc. Game Over for AMD in this range, until Zen4.",3 years ago.
11th-Gen-IntelR-CoreTM-i5-11500---270GHz,https://cpu.userbenchmark.com/SpeedTest/1496869/11th-Gen-IntelR-CoreTM-i5-11500---270GHz,SpeedTest,Excellent,Fantastic value in my opinion. Also with the insane GPU shortages it's nice to see a decent integrated GPU.,3 years ago.
11th-Gen-IntelR-CoreTM-i5-11500---270GHz,https://cpu.userbenchmark.com/SpeedTest/1496869/11th-Gen-IntelR-CoreTM-i5-11500---270GHz,SpeedTest,Excellent,Price- but don't bother with the stock intel cooler its way too noisy and you will need an alterative cooler,3 years ago.
11th-Gen-IntelR-CoreTM-i5-11600KF---390GHz,https://cpu.userbenchmark.com/SpeedTest/1512279/11th-Gen-IntelR-CoreTM-i5-11600KF---390GHz,SpeedTest,,,21 days ago.
11th-Gen-IntelR-CoreTM-i5-11600KF---390GHz,https://cpu.userbenchmark.com/SpeedTest/1512279/11th-Gen-IntelR-CoreTM-i5-11600KF---390GHz,SpeedTest,Good,"It's an amazing processor! Fast, stable and reaches the highest clocks without problems. In games its performance is excellent, and at work too.",16 months ago.
11th-Gen-IntelR-CoreTM-i7-1160G7---120GHz,https://cpu.userbenchmark.com/SpeedTest/1300243/11th-Gen-IntelR-CoreTM-i7-1160G7---120GHz,SpeedTest,,,2 years ago.
11th-Gen-IntelR-CoreTM-i7-1160G7---120GHz,https://cpu.userbenchmark.com/SpeedTest/1300243/11th-Gen-IntelR-CoreTM-i7-1160G7---120GHz,SpeedTest,Excellent,"4C 8T mobile CPU, this one is very very fast in term of single core. With base clock of 2.1Ghz, turbo up to 4.4Ghz, this CPU can evenly match up with majority of 'H' series CPU, which have 45W TDP while this one is only 15W. As this is i7 series, comes with 5mb of L2 and 12mb of L3 cache memory.",2 years ago.
11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,https://cpu.userbenchmark.com/SpeedTest/1195374/11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,SpeedTest,,,2 months ago.
11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,https://cpu.userbenchmark.com/SpeedTest/1195374/11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,SpeedTest,Good,"it seems to be more powerful for gaming and desktop whereas the other cpu is just average between workstation, desktop and gaming but its not a high power on them",23 days ago.
11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,https://cpu.userbenchmark.com/SpeedTest/1195374/11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,SpeedTest,Terrible,"terribly slow dont even waste your time with it you cant run any good games at all, roblox will be the best and you will still not be able to play high quality games on roblox.",6 months ago.
11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,https://cpu.userbenchmark.com/SpeedTest/1195374/11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,SpeedTest,Excellent,insane single core performance= best for coding,9 months ago.
11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,https://cpu.userbenchmark.com/SpeedTest/1195374/11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,SpeedTest,Poor,"newer architecture, higher clock",3 days ago.
11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,https://cpu.userbenchmark.com/SpeedTest/1195374/11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,SpeedTest,Poor,it goot for programing work and google work,9 months ago.
11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,https://cpu.userbenchmark.com/SpeedTest/1195374/11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,SpeedTest,Poor,"Maybe not the problem with the CPU, but the temps are bad, even at balanced performance mode (boze 10), and the fan is very often noisy.",2 years ago.
11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,https://cpu.userbenchmark.com/SpeedTest/1195374/11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,SpeedTest,Good,"4C 8T laptop CPU with TDP up to 28W. Base clock of 2.8Ghz, turbo up to 4.7Ghz. Even with the TDP 28W, this CPU have comparable single core performance of 65W 10th gen CPU.",3 years ago.
11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,https://cpu.userbenchmark.com/SpeedTest/1195374/11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,SpeedTest,Excellent,"Blazing fast, high performance and low power comsuption, even in heavy workload it can run it with no issue.",2 years ago.
11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,https://cpu.userbenchmark.com/SpeedTest/1195374/11th-Gen-IntelR-CoreTM-i7-1165G7---280GHz,SpeedTest,Excellent,"This thing has an insane single core performance, more than anything available on desktop, including overclocks pushing current cpus to the limit. Imagine what this could do at 5.2ghz on a desktop.",3 years ago.
11th-Gen-IntelR-CoreTM-i7-1185G7---300GHz,https://cpu.userbenchmark.com/SpeedTest/1268967/11th-Gen-IntelR-CoreTM-i7-1185G7---300GHz,SpeedTest,,,3 months ago.
11th-Gen-IntelR-CoreTM-i7-1185G7---300GHz,https://cpu.userbenchmark.com/SpeedTest/1268967/11th-Gen-IntelR-CoreTM-i7-1185G7---300GHz,SpeedTest,Good,Pretty good performance with its integrated graphics.,15 days ago.
11th-Gen-IntelR-CoreTM-i7-1185G7---300GHz,https://cpu.userbenchmark.com/SpeedTest/1268967/11th-Gen-IntelR-CoreTM-i7-1185G7---300GHz,SpeedTest,Good,"its is the fastest single core performance really? need more user for benchmark, we need accuracy for the data",21 months ago.
11th-Gen-IntelR-CoreTM-i7-1185G7---300GHz,https://cpu.userbenchmark.com/SpeedTest/1268967/11th-Gen-IntelR-CoreTM-i7-1185G7---300GHz,SpeedTest,Good,Ultra fast single core performance,1 month ago.
11th-Gen-IntelR-CoreTM-i7-1185G7---300GHz,https://cpu.userbenchmark.com/SpeedTest/1268967/11th-Gen-IntelR-CoreTM-i7-1185G7---300GHz,SpeedTest,Excellent,"This modern 4C 8T mobile CPU have incredibly fast single core speed with minimum 12W TDP,15W TDP and up to 28W TDP. Base clock of 3.0Ghz, turbo up to 4.8Ghz.",3 years ago.
11th-Gen-IntelR-CoreTM-i7-1185G7---300GHz,https://cpu.userbenchmark.com/SpeedTest/1268967/11th-Gen-IntelR-CoreTM-i7-1185G7---300GHz,SpeedTest,Excellent,Excellent. ~83% with minimal power limit throttling. Good iGPU. Came with a Dell Latitude 5320 in an area of unused laptops at my dad's workplace.,6 months ago.
11th-Gen-IntelR-CoreTM-i7-1195G7---290GHz,https://cpu.userbenchmark.com/SpeedTest/1654461/11th-Gen-IntelR-CoreTM-i7-1195G7---290GHz,SpeedTest,,,15 days ago.
11th-Gen-IntelR-CoreTM-i7-11370H---330GHz,https://cpu.userbenchmark.com/SpeedTest/1444990/11th-Gen-IntelR-CoreTM-i7-11370H---330GHz,SpeedTest,,,4 months ago.
11th-Gen-IntelR-CoreTM-i7-11370H---330GHz,https://cpu.userbenchmark.com/SpeedTest/1444990/11th-Gen-IntelR-CoreTM-i7-11370H---330GHz,SpeedTest,Poor,i have it ND I RUN Games on insane fps,9 months ago.
11th-Gen-IntelR-CoreTM-i7-11375H---330GHz,https://cpu.userbenchmark.com/SpeedTest/1462657/11th-Gen-IntelR-CoreTM-i7-11375H---330GHz,SpeedTest,,,10 months ago.
11th-Gen-IntelR-CoreTM-i7-11375H---330GHz,https://cpu.userbenchmark.com/SpeedTest/1462657/11th-Gen-IntelR-CoreTM-i7-11375H---330GHz,SpeedTest,,,2 years ago.
11th-Gen-IntelR-CoreTM-i7-11700---250GHz,https://cpu.userbenchmark.com/SpeedTest/1450761/11th-Gen-IntelR-CoreTM-i7-11700---250GHz,SpeedTest,,,3 months ago.
11th-Gen-IntelR-CoreTM-i7-11700---250GHz,https://cpu.userbenchmark.com/SpeedTest/1450761/11th-Gen-IntelR-CoreTM-i7-11700---250GHz,SpeedTest,Good,"11400F+3060Ti: Game over AMD, at least until Zen4 and RDNA 3 …",8 months ago.
11th-Gen-IntelR-CoreTM-i7-11700---250GHz,https://cpu.userbenchmark.com/SpeedTest/1450761/11th-Gen-IntelR-CoreTM-i7-11700---250GHz,SpeedTest,Excellent,,2 years ago.
11th-Gen-IntelR-CoreTM-i7-11700---250GHz,https://cpu.userbenchmark.com/SpeedTest/1450761/11th-Gen-IntelR-CoreTM-i7-11700---250GHz,SpeedTest,Good,for multitask job i7 11700 better than 13 13100f,9 months ago.
11th-Gen-IntelR-CoreTM-i7-11700F---250GHz,https://cpu.userbenchmark.com/SpeedTest/1522100/11th-Gen-IntelR-CoreTM-i7-11700F---250GHz,SpeedTest,,,21 days ago.
11th-Gen-IntelR-CoreTM-i7-11700F---250GHz,https://cpu.userbenchmark.com/SpeedTest/1522100/11th-Gen-IntelR-CoreTM-i7-11700F---250GHz,SpeedTest,Terrible,"11400F+3060Ti: Game over AMD, at least until Zen4 and RDNA 3 …",5 months ago.
11th-Gen-IntelR-CoreTM-i7-11700F---250GHz,https://cpu.userbenchmark.com/SpeedTest/1522100/11th-Gen-IntelR-CoreTM-i7-11700F---250GHz,SpeedTest,Good,Intel core i7 11700f + rtx 3060 ti is a good combination. Acer Predator Orion 3000 Gaming PC (Intel Ci7-11700F/1TB SSD/16GB RAM/Nvidia RTX 3060Ti/Windows 10) is a good gaming pc build,3 months ago.
11th-Gen-IntelR-CoreTM-i7-11700F---250GHz,https://cpu.userbenchmark.com/SpeedTest/1522100/11th-Gen-IntelR-CoreTM-i7-11700F---250GHz,SpeedTest,Excellent,it is pretty good and goes with many gpu's,6 months ago.
11th-Gen-IntelR-CoreTM-i7-11700F---250GHz,https://cpu.userbenchmark.com/SpeedTest/1522100/11th-Gen-IntelR-CoreTM-i7-11700F---250GHz,SpeedTest,Excellent,Runs really well. No bottle neck,2 years ago.
11th-Gen-IntelR-CoreTM-i7-11700KF---360GHz,https://cpu.userbenchmark.com/SpeedTest/1514594/11th-Gen-IntelR-CoreTM-i7-11700KF---360GHz,SpeedTest,,Ever since I increased my RAM usage the core hasn't been able to keep up and constantly reaches 100% when only playing one game.,1 month ago.
11th-Gen-IntelR-CoreTM-i7-11700KF---360GHz,https://cpu.userbenchmark.com/SpeedTest/1514594/11th-Gen-IntelR-CoreTM-i7-11700KF---360GHz,SpeedTest,Poor,"Gave a really big boost in performance, especially in photo editing.",18 months ago.
11th-Gen-IntelR-CoreTM-i7-11700KF---360GHz,https://cpu.userbenchmark.com/SpeedTest/1514594/11th-Gen-IntelR-CoreTM-i7-11700KF---360GHz,SpeedTest,Excellent,"11700K, but without iGPU.",2 years ago.
11th-Gen-IntelR-CoreTM-i7-11700KF---360GHz,https://cpu.userbenchmark.com/SpeedTest/1514594/11th-Gen-IntelR-CoreTM-i7-11700KF---360GHz,SpeedTest,Excellent,Find this on facebook marketplace (~$350) and its AMAZING!!,17 months ago.
11th-Gen-IntelR-CoreTM-i7-11800H---230GHz,https://cpu.userbenchmark.com/SpeedTest/1542191/11th-Gen-IntelR-CoreTM-i7-11800H---230GHz,SpeedTest,,,2 months ago.
11th-Gen-IntelR-CoreTM-i7-11800H---230GHz,https://cpu.userbenchmark.com/SpeedTest/1542191/11th-Gen-IntelR-CoreTM-i7-11800H---230GHz,SpeedTest,Poor,Best cpu for budget laptop ever1,5 days ago.
11th-Gen-IntelR-CoreTM-i7-11800H---230GHz,https://cpu.userbenchmark.com/SpeedTest/1542191/11th-Gen-IntelR-CoreTM-i7-11800H---230GHz,SpeedTest,Good,Just right as a Q2 2023 Gadget,5 months ago.
11th-Gen-IntelR-CoreTM-i7-11800H---230GHz,https://cpu.userbenchmark.com/SpeedTest/1542191/11th-Gen-IntelR-CoreTM-i7-11800H---230GHz,SpeedTest,Excellent,it was working great for minecraft its cheap and its powerful but sure it cant be the best!,5 months ago.
11th-Gen-IntelR-CoreTM-i7-11800H---230GHz,https://cpu.userbenchmark.com/SpeedTest/1542191/11th-Gen-IntelR-CoreTM-i7-11800H---230GHz,SpeedTest,Good,in my opinion this gives better fps so this is better,16 months ago.
11th-Gen-IntelR-CoreTM-i7-11800H---230GHz,https://cpu.userbenchmark.com/SpeedTest/1542191/11th-Gen-IntelR-CoreTM-i7-11800H---230GHz,SpeedTest,Excellent,"Base clock of 2.3Ghz, turbo up to 4.6ghz. 8C 16T system for faster multi-tasking performance. Single and multi-core is about 25% improved from 10th gen H45 series. iGPU with UHD 32EU have batter 4k performance Biggest improvement is 6C 12T become 8C 16T.",3 years ago.
11th-Gen-IntelR-CoreTM-i7-11850H---250GHz,https://cpu.userbenchmark.com/SpeedTest/1557007/11th-Gen-IntelR-CoreTM-i7-11850H---250GHz,SpeedTest,,,2 months ago.
11th-Gen-IntelR-CoreTM-i7-11850H---250GHz,https://cpu.userbenchmark.com/SpeedTest/1557007/11th-Gen-IntelR-CoreTM-i7-11850H---250GHz,SpeedTest,Excellent,"Supersede of 10th gen 6C12T i7-10750H and i7-10850H. Almost 35% faster and over 40% improvement from i7-10850. Base clock of 2.5Ghz, up to 4.8Gh while i7-10850 have 2.7Ghz as base clock and 5.1Ghz as turbo clock, but 11850 have upper hand due to 8C 18T compare to 6C 12T 10850H. iGPU also comes with new 11th gen 32EU UHD. Will top the laptop CPU with i9-11980HK.",3 years ago.
11th-Gen-IntelR-CoreTM-i9-11900---250GHz,https://cpu.userbenchmark.com/SpeedTest/1515871/11th-Gen-IntelR-CoreTM-i9-11900---250GHz,SpeedTest,,Fast proccesor and good for gaming vr.,9 months ago.
11th-Gen-IntelR-CoreTM-i9-11900F---250GHz,https://cpu.userbenchmark.com/SpeedTest/1492552/11th-Gen-IntelR-CoreTM-i9-11900F---250GHz,SpeedTest,,,6 months ago.
11th-Gen-IntelR-CoreTM-i9-11900H---250GHz,https://cpu.userbenchmark.com/SpeedTest/1539880/11th-Gen-IntelR-CoreTM-i9-11900H---250GHz,SpeedTest,,,6 months ago.
11th-Gen-IntelR-CoreTM-i9-11900H---250GHz,https://cpu.userbenchmark.com/SpeedTest/1539880/11th-Gen-IntelR-CoreTM-i9-11900H---250GHz,SpeedTest,Excellent,performance is optimum at 8 core 16 treath against to 12900h's 6 performance core,4 months ago.
11th-Gen-IntelR-CoreTM-i9-11900KF---350GHz,https://cpu.userbenchmark.com/SpeedTest/1515781/11th-Gen-IntelR-CoreTM-i9-11900KF---350GHz,SpeedTest,,,7 months ago.
11th-Gen-IntelR-CoreTM-i9-11950H---260GHz,https://cpu.userbenchmark.com/SpeedTest/1554081/11th-Gen-IntelR-CoreTM-i9-11950H---260GHz,SpeedTest,,,2 months ago.
11th-Gen-IntelR-CoreTM-i9-11950H---260GHz,https://cpu.userbenchmark.com/SpeedTest/1554081/11th-Gen-IntelR-CoreTM-i9-11950H---260GHz,SpeedTest,Excellent,"8C 16T mobile CPU. Base clock of 2.6Ghz, turbo up to 5Ghz. TDP of 45W, down to 35W. Insanely fast single core makes it ultimate gaming laptop CPU for 2021. Never seen a laptop with this CPU, but hope to find it sometime btw 2021 late Q2~Q3.",2 years ago.
11th-Gen-IntelR-CoreTM-i9-11980HK---260GHz,https://cpu.userbenchmark.com/SpeedTest/1569162/11th-Gen-IntelR-CoreTM-i9-11980HK---260GHz,SpeedTest,,,4 months ago.
11th-Gen-IntelR-CoreTM-i9-11980HK---260GHz,https://cpu.userbenchmark.com/SpeedTest/1569162/11th-Gen-IntelR-CoreTM-i9-11980HK---260GHz,SpeedTest,Excellent,"Fastest mobile 8C 16T mCPU available in 2021. Base of 3.30Ghz, which is much higher then the previous 10980HK, which have base of 2.40Ghz. Single core speed of Ryzen 5900, multi core speed almost get to i7-11700K. Superior with the high-end dGPU such as RTX 3070M and RTX 3080M. TDP is 65W, lowest down to 45W. Extremely hot and power hungry for a mobile CPU.",2 years ago.
12th-Gen-IntelR-CoreTM-i3-12300,https://cpu.userbenchmark.com/SpeedTest/1796462/12th-Gen-IntelR-CoreTM-i3-12300,SpeedTest,,,23 months ago.
12th-Gen-IntelR-CoreTM-i3-12300,https://cpu.userbenchmark.com/SpeedTest/1796462/12th-Gen-IntelR-CoreTM-i3-12300,SpeedTest,Good,Now THIS is the fastest quad core.,2 years ago.
12th-Gen-IntelR-CoreTM-i5-1240P,https://cpu.userbenchmark.com/SpeedTest/1811937/12th-Gen-IntelR-CoreTM-i5-1240P,SpeedTest,,,10 months ago.
12th-Gen-IntelR-CoreTM-i5-12450H,https://cpu.userbenchmark.com/SpeedTest/1814904/12th-Gen-IntelR-CoreTM-i5-12450H,SpeedTest,,,21 days ago.
12th-Gen-IntelR-CoreTM-i5-12500H,https://cpu.userbenchmark.com/SpeedTest/1793224/12th-Gen-IntelR-CoreTM-i5-12500H,SpeedTest,,I use this CPU in my laptop and it boots fast and is absolutely a BEAST gaming.,21 days ago.
12th-Gen-IntelR-CoreTM-i5-12500H,https://cpu.userbenchmark.com/SpeedTest/1793224/12th-Gen-IntelR-CoreTM-i5-12500H,SpeedTest,Good,iN MY NEW dell G5 very stable and no problems gaming.,8 months ago.
12th-Gen-IntelR-CoreTM-i5-12500H,https://cpu.userbenchmark.com/SpeedTest/1793224/12th-Gen-IntelR-CoreTM-i5-12500H,SpeedTest,Good,"This CPU seems to be underrated and I don't understand why. While it's not an i7 and therefore misses 2 P-cores, it still beats everything from previous generations. Heck, it's even more powerful than Ryzen 6000 series. And most importantly, it's very well priced.",9 months ago.
12th-Gen-IntelR-CoreTM-i5-12500H,https://cpu.userbenchmark.com/SpeedTest/1793224/12th-Gen-IntelR-CoreTM-i5-12500H,SpeedTest,Excellent,"love it, it has ddr5 support and plus i got it",5 months ago.
12th-Gen-IntelR-CoreTM-i5-12600H,https://cpu.userbenchmark.com/SpeedTest/1847567/12th-Gen-IntelR-CoreTM-i5-12600H,SpeedTest,,,21 days ago.
12th-Gen-IntelR-CoreTM-i5-12600KF,https://cpu.userbenchmark.com/SpeedTest/1700734/12th-Gen-IntelR-CoreTM-i5-12600KF,SpeedTest,,,21 days ago.
12th-Gen-IntelR-CoreTM-i5-12600KF,https://cpu.userbenchmark.com/SpeedTest/1700734/12th-Gen-IntelR-CoreTM-i5-12600KF,SpeedTest,Good,ITS THE BEST CPU FOR THIS PRICE,6 hrs ago.
12th-Gen-IntelR-CoreTM-i5-12600KF,https://cpu.userbenchmark.com/SpeedTest/1700734/12th-Gen-IntelR-CoreTM-i5-12600KF,SpeedTest,Excellent,This is CPU item is a beast still cooling and not high temperature. Good 12600K,11 days ago.
